Zeitstempel,"Wie bewerten Sie die Usability von MC-Test-App? [Ich kann mir sehr gut vorstellen, das System regelmäßig zu nutzen.]",Wie bewerten Sie die Usability von MC-Test-App? [Ich empfinde das System als unnötig komplex.],Wie bewerten Sie die Usability von MC-Test-App? [Ich empfinde das System als einfach zu nutzen.],"Wie bewerten Sie die Usability von MC-Test-App? [Ich denke, dass ich technischen Support brauchen würde, um das System zu nutzen.]","Wie bewerten Sie die Usability von MC-Test-App? [Ich finde, dass die verschiedenen Funktionen des Systems gut integriert sind.]","Wie bewerten Sie die Usability von MC-Test-App? [Ich finde, dass es im System zu viele Inkonsistenzen gibt.]","Wie bewerten Sie die Usability von MC-Test-App? [Ich kann mir vorstellen, dass die meisten Leute das System schnell zu beherrschen lernen.]",Wie bewerten Sie die Usability von MC-Test-App? [Ich empfinde die Bedienung als sehr umständlich.],Wie bewerten Sie die Usability von MC-Test-App? [Ich habe mich bei der Nutzung des Systems sehr sicher gefühlt.],"Wie bewerten Sie die Usability von MC-Test-App? [Ich musste eine Menge Dinge lernen, bevor ich mit dem System arbeiten konnte.]"
11.11.2025 14:45:24,2,1,4,1,4,3,4,2,4,2
11.11.2025 14:45:38,2,1,4,2,4,2,4,2,4,2
11.11.2025 14:45:45,3,2,5,1,4,2,5,2,4,1
11.11.2025 14:46:13,2,1,5,1,4,3,5,1,4,1
11.11.2025 14:46:49,2,4,2,4,2,4,2,4,2,4
11.11.2025 14:46:54,2,4,3,3,4,2,3,3,3,4
11.11.2025 14:46:55,3,2,4,2,4,3,4,2,4,2
11.11.2025 14:46:56,4,2,4,2,4,2,3,1,4,1
11.11.2025 14:46:57,4,2,5,1,4,2,5,1,5,1
11.11.2025 14:46:57,4,2,4,2,3,2,5,1,3,1
11.11.2025 14:47:03,2,4,3,1,3,1,3,2,2,3
11.11.2025 14:47:09,4,1,5,1,4,4,4,1,4,3
11.11.2025 14:47:11,4,3,1,2,4,2,2,2,1,5
11.11.2025 14:47:58,4,2,4,1,3,2,5,1,4,1
11.11.2025 14:48:27,5,2,4,2,3,4,2,3,2,3
11.11.2025 14:48:37,3,3,2,3,3,3,3,3,3,3
11.11.2025 14:49:23,2,2,1,3,3,3,3,3,2,4
