Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2025-11-10 08:00:00,3,3,3,3,3,3,3,2,4,3
2025-11-10 08:00:30,4,2,4,2,4,2,5,1,4,2
2025-11-10 08:01:00,4,2,4,3,4,2,4,2,4,2
2025-11-10 08:01:30,3,3,3,3,3,3,3,3,3,3
2025-11-10 08:02:00,3,2,3,3,3,2,3,3,4,2
2025-11-10 08:02:30,4,1,5,2,5,2,5,1,4,2
2025-11-10 08:03:00,3,3,3,3,2,4,2,3,2,3
2025-11-10 08:03:30,4,2,3,3,3,3,4,2,3,2
2025-11-10 08:04:00,4,2,4,2,5,2,4,1,5,2
2025-11-10 08:04:30,3,3,3,3,4,3,3,2,3,2
2025-11-10 08:05:00,3,2,3,3,4,2,3,3,4,3
2025-11-10 08:05:30,3,2,4,3,3,2,4,2,4,2
2025-11-10 08:06:00,4,2,4,1,4,1,5,1,4,2
2025-11-10 08:06:30,4,3,4,3,3,3,3,2,3,2
2025-11-10 08:07:00,3,2,3,3,4,3,4,3,4,2
2025-11-10 08:07:30,3,2,3,3,4,3,4,2,3,2
2025-11-10 08:08:00,5,1,4,1,4,1,5,1,5,1
2025-11-10 08:08:30,5,1,4,1,5,1,4,1,5,1
2025-11-10 08:09:00,4,2,4,2,5,2,4,2,4,1
2025-11-10 08:09:30,4,2,4,2,4,2,4,2,3,2
2025-11-10 08:10:00,4,2,4,2,4,2,5,2,4,2
2025-11-10 08:10:30,4,2,5,2,5,1,4,1,4,2
2025-11-10 08:11:00,4,3,3,2,3,3,4,3,3,3
2025-11-10 08:11:30,4,1,4,2,5,1,4,2,4,2
2025-11-10 08:12:00,3,3,3,3,3,3,3,2,3,3
2025-11-10 08:12:30,3,2,3,3,4,3,4,3,3,2
2025-11-10 08:13:00,4,2,5,2,5,2,4,2,4,2
2025-11-10 08:13:30,3,3,3,3,3,3,3,3,3,3
2025-11-10 08:14:00,4,3,4,2,3,3,4,2,4,2
2025-11-10 08:14:30,4,2,3,3,4,3,3,3,3,3
2025-11-10 08:15:00,4,2,3,3,3,2,4,3,4,2
2025-11-10 08:15:30,2,3,2,4,2,3,3,4,3,4
2025-11-10 08:16:00,3,3,3,4,3,3,3,3,3,3
2025-11-10 08:16:30,4,3,3,3,3,2,4,2,3,3
2025-11-10 08:17:00,4,2,5,1,4,2,4,2,4,2
2025-11-10 08:17:30,4,2,4,3,3,2,4,2,3,3
2025-11-10 08:18:00,4,3,4,2,3,2,4,3,4,2
2025-11-10 08:18:30,4,2,4,2,4,2,4,2,4,1
2025-11-10 08:19:00,3,3,3,2,4,3,3,3,4,3
2025-11-10 08:19:30,4,3,4,2,4,2,4,2,4,2
