Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Proband_ID,SUS_Summe_0_40,SUS_Score_0_100,SUS_Label,SUS_Grade,SUS_Interpretation
2025-11-10 08:00:00,2,2,2,2,2,2,2,3,3,2,P001,22,55.0,Marginal (D),D,Marginal (D)
2025-11-10 08:00:30,3,3,3,3,3,3,4,4,3,3,P002,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:01:00,3,3,3,2,3,3,3,3,3,3,P003,29,72.5,OK (C),C,OK (C)
2025-11-10 08:01:30,2,2,2,2,2,2,2,2,2,2,P004,20,50.0,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:02:00,2,3,2,2,2,3,2,2,3,3,P005,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:02:30,3,4,4,3,4,3,4,4,3,3,P006,35,87.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:03:00,2,2,2,2,1,1,1,2,1,2,P007,16,40.0,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:03:30,3,3,2,2,2,2,3,3,2,3,P008,25,62.5,Marginal (D),D,Marginal (D)
2025-11-10 08:04:00,3,3,3,3,4,3,3,4,4,3,P009,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:04:30,2,2,2,2,3,2,2,3,2,3,P010,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:05:00,2,3,2,2,3,3,2,2,3,2,P011,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:05:30,2,3,3,2,2,3,3,3,3,3,P012,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:06:00,3,3,3,4,3,4,4,4,3,3,P013,34,85.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:06:30,3,2,3,2,2,2,2,3,2,3,P014,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:07:00,2,3,2,2,3,2,3,2,3,3,P015,25,62.5,Marginal (D),D,Marginal (D)
2025-11-10 08:07:30,2,3,2,2,3,2,3,3,2,3,P016,25,62.5,Marginal (D),D,Marginal (D)
2025-11-10 08:08:00,4,4,3,4,3,4,4,4,4,4,P017,38,95.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:08:30,4,4,3,4,4,4,3,4,4,4,P018,38,95.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:09:00,3,3,3,3,4,3,3,3,3,4,P019,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:09:30,3,3,3,3,3,3,3,3,2,3,P020,29,72.5,OK (C),C,OK (C)
2025-11-10 08:10:00,3,3,3,3,3,3,4,3,3,3,P021,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:10:30,3,3,4,3,4,4,3,4,3,3,P022,34,85.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:11:00,3,2,2,3,2,2,3,2,2,2,P023,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:11:30,3,4,3,3,4,4,3,3,3,3,P024,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:12:00,2,2,2,2,2,2,2,3,2,2,P025,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:12:30,2,3,2,2,3,2,3,2,2,3,P026,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:13:00,3,3,4,3,4,3,3,3,3,3,P027,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:13:30,2,2,2,2,2,2,2,2,2,2,P028,20,50.0,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:14:00,3,2,3,3,2,2,3,3,3,3,P029,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:14:30,3,3,2,2,3,2,2,2,2,2,P030,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:15:00,3,3,2,2,2,3,3,2,3,3,P031,26,65.0,Marginal (D),D,Marginal (D)
2025-11-10 08:15:30,1,2,1,1,1,2,2,1,2,1,P032,14,35.0,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:16:00,2,2,2,1,2,2,2,2,2,2,P033,19,47.5,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:16:30,3,2,2,2,2,3,3,3,2,2,P034,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:17:00,3,3,4,4,3,3,3,3,3,3,P035,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:17:30,3,3,3,2,2,3,3,3,2,2,P036,26,65.0,Marginal (D),D,Marginal (D)
2025-11-10 08:18:00,3,2,3,3,2,3,3,2,3,3,P037,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:18:30,3,3,3,3,3,3,3,3,3,4,P038,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:19:00,2,2,2,3,3,2,2,2,3,2,P039,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:19:30,3,2,3,3,3,3,3,3,3,3,P040,29,72.5,OK (C),C,OK (C)
2025-11-10 08:20:00,2,3,2,3,2,3,2,2,2,2,P041,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:20:30,2,2,2,2,2,1,2,2,2,2,P042,19,47.5,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:21:00,2,2,3,3,3,3,2,2,3,2,P043,25,62.5,Marginal (D),D,Marginal (D)
2025-11-10 08:21:30,3,3,3,3,3,3,3,3,3,3,P044,30,75.0,Gut (B),B,Gut (B)
2025-11-10 08:22:00,3,3,3,3,2,3,3,3,3,3,P045,29,72.5,OK (C),C,OK (C)
2025-11-10 08:22:30,3,2,3,2,3,3,2,3,3,3,P046,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:23:00,4,4,3,4,4,4,4,4,4,4,P047,39,97.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:23:30,3,3,3,2,3,3,3,3,3,3,P048,29,72.5,OK (C),C,OK (C)
2025-11-10 08:24:00,3,3,3,3,3,3,3,3,4,4,P049,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:24:30,4,3,3,4,4,4,4,4,4,4,P050,38,95.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:25:00,2,2,2,3,2,2,2,2,2,2,P051,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:25:30,3,3,2,2,2,2,2,2,2,2,P052,22,55.0,Marginal (D),D,Marginal (D)
2025-11-10 08:26:00,3,4,3,4,3,4,3,4,4,4,P053,36,90.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:26:30,3,2,2,3,2,2,2,3,2,2,P054,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:27:00,3,3,3,2,3,3,3,3,2,2,P055,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:27:30,4,3,4,3,3,3,3,3,3,3,P056,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:28:00,3,3,3,4,3,3,3,3,3,3,P057,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:28:30,3,3,4,4,3,4,4,4,4,3,P058,36,90.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:29:00,3,4,3,4,3,4,3,4,3,3,P059,34,85.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:29:30,3,3,4,3,3,3,3,3,3,4,P060,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:30:00,3,2,3,2,3,2,2,2,2,2,P061,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:30:30,3,3,4,3,3,3,3,3,3,3,P062,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:31:00,3,3,3,3,3,3,2,3,3,3,P063,29,72.5,OK (C),C,OK (C)
2025-11-10 08:31:30,2,3,2,2,2,2,2,2,2,2,P064,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:32:00,4,3,4,3,3,4,3,3,4,3,P065,34,85.0,Exzellent (A),A,Exzellent (A)
2025-11-10 08:32:30,3,3,3,3,3,4,3,3,3,3,P066,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:33:00,3,3,3,3,3,2,2,3,3,2,P067,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:33:30,2,2,3,2,3,3,3,3,3,2,P068,26,65.0,Marginal (D),D,Marginal (D)
2025-11-10 08:34:00,2,2,2,2,2,2,2,2,3,2,P069,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:34:30,2,2,3,3,3,3,3,3,3,3,P070,28,70.0,OK (C),C,OK (C)
2025-11-10 08:35:00,3,3,3,3,2,3,3,3,3,3,P071,29,72.5,OK (C),C,OK (C)
2025-11-10 08:35:30,3,2,3,2,2,2,3,2,2,2,P072,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:36:00,4,4,3,4,3,3,3,3,3,3,P073,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:36:30,2,2,2,2,2,2,3,2,3,2,P074,22,55.0,Marginal (D),D,Marginal (D)
2025-11-10 08:37:00,2,1,2,1,2,2,2,2,2,1,P075,17,42.5,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:37:30,4,3,3,3,3,3,3,3,3,4,P076,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:38:00,3,2,2,2,3,2,2,3,3,3,P077,25,62.5,Marginal (D),D,Marginal (D)
2025-11-10 08:38:30,3,3,2,3,3,3,3,3,2,2,P078,27,67.5,Marginal (D),D,Marginal (D)
2025-11-10 08:39:00,2,3,2,2,2,2,3,2,2,3,P079,23,57.5,Marginal (D),D,Marginal (D)
2025-11-10 08:39:30,2,2,2,2,2,1,2,2,2,2,P080,19,47.5,Inakzeptabel (F),F,Inakzeptabel (F)
2025-11-10 08:40:00,3,4,3,3,4,3,3,4,3,3,P081,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:40:30,2,2,2,3,3,2,2,3,3,2,P082,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:41:00,3,3,3,3,4,3,4,4,4,4,P083,35,87.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:41:30,3,3,3,3,3,3,3,3,4,3,P084,31,77.5,Gut (B),B,Gut (B)
2025-11-10 08:42:00,3,2,3,2,3,2,2,3,3,3,P085,26,65.0,Marginal (D),D,Marginal (D)
2025-11-10 08:42:30,2,3,3,2,2,2,2,2,2,2,P086,22,55.0,Marginal (D),D,Marginal (D)
2025-11-10 08:43:00,3,3,3,2,3,2,2,2,2,2,P087,24,60.0,Marginal (D),D,Marginal (D)
2025-11-10 08:43:30,2,2,2,2,2,2,2,2,2,3,P088,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:44:00,4,4,3,3,4,3,4,4,4,4,P089,37,92.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:44:30,2,3,3,3,3,3,3,2,3,3,P090,28,70.0,OK (C),C,OK (C)
2025-11-10 08:45:00,3,3,3,4,3,3,4,3,4,3,P091,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:45:30,2,2,2,2,2,2,2,2,2,3,P092,21,52.5,Marginal (D),D,Marginal (D)
2025-11-10 08:46:00,3,3,2,3,3,2,3,3,3,3,P093,28,70.0,OK (C),C,OK (C)
2025-11-10 08:46:30,4,3,3,3,4,3,3,3,3,4,P094,33,82.5,Exzellent (A),A,Exzellent (A)
2025-11-10 08:47:00,3,3,3,2,3,3,2,2,2,3,P095,26,65.0,Marginal (D),D,Marginal (D)
2025-11-10 08:47:30,3,3,3,3,3,3,3,4,4,3,P096,32,80.0,Gut (B),B,Gut (B)
2025-11-10 08:48:00,2,2,2,2,3,3,2,2,2,2,P097,22,55.0,Marginal (D),D,Marginal (D)
